# never change column names
id,name,group
FRA,France,A
ALB,Albania,A
SUI,Switzerland,A
ROU,Romania,A
ENG,England,B
RUS,Russia,B
WAL,Wales,B
SVK,Slovakia,B
GER,Germany,C
UKR,Ukraine,C
POL,Poland,C
NIR,Northern Ireland,C
ESP,Spain,D
CZE,Czech Republic,D
TUR,Turkey,D
CRO,Croatia,D
BEL,Belgium,E
ITA,Italy,E
IRL,Republic of Ireland,E
SWE,Sweden,E
POR,Portugal,F
ISL,Iceland,F
AUT,Austria,F
HUN,Hungary,F
